Gemeinde	2020-11-01T09:53:55.000Z	2020-11-02T05:51:10.000Z	2020-11-02T14:58:48.000Z	2020-11-03T05:54:06.000Z	2020-11-03T14:50:35.000Z	2020-11-04T04:53:25.000Z	2020-11-04T14:09:45.000Z	2020-11-05T05:09:49.000Z	2020-11-05T07:09:49.000Z	2020-11-05T15:55:55.000Z	2020-11-06T06:52:43.000Z	2020-11-06T11:01:26.000Z	2020-11-06T13:01:26.000Z	2020-11-07T06:52:05.000Z
Saalfelden am Steinernen Meer	62	62	62	67	65	72	72	72	72	74	74	77	77	87
Sankt Martin bei Lofer	18	18	18	18	18	18	18	18	18	18	18	18	18	18
Stuhlfelden	4	4	4	4	4	5	5	5	5	6	6	6	6	7
Taxenbach	11	11	11	11	11	12	12	12	12	12	12	23	23	26
Unken	32	32	32	32	32	36	36	36	36	40	40	42	42	49
Uttendorf	9	9	9	10	9	10	10	10	10	11	11	11	11	11
Viehhofen	9	9	9	9	9	9	9	9	9	9	9	9	9	9
Wald im Pinzgau	11	11	11	12	12	12	12	12	12	12	12	12	12	12
Weißbach bei Lofer	13	13	13	13	13	14	14	14	14	14	14	14	14	14
Zell am See	122	122	122	124	122	125	125	125	125	126	125	130	130	135
Pinzgau - Nicht zugeordnet	5	5	5	5	5	5	5	5	5	5	5	5	5	5
