Gemeinde	2020-01-11T09:53:55.000Z	2020-02-11T05:51:10.000Z	2020-02-11T14:58:48.000Z	2020-03-11T05:54:06.000Z	2020-03-11T14:50:35.000Z	2020-04-11T04:53:25.000Z	2020-04-11T14:09:45.000Z	2020-05-11T07:09:49.000Z	2020-05-11T15:55:55.000Z
Tennengau / Tennengau - Nicht zugeordnet	12	12	12	12	12	12	12	12	12
Salzburg Stadt / Salzburg Stadt	825	855	855	905	902	938	938	986	986
Salzburg Stadt / Stadt Salzburg - Nicht zugeordnet	37	38	38	46	46	48	48	50	50
Lungau / Lungau	93	100	100	112	112	121	129	147	149
Lungau / Göriach	0	0	0	0	0	0	0	0	0
Lungau / Lessach	1	1	1	1	1	1	1	1	1
Lungau / Mariapfarr	22	22	22	22	22	22	22	24	24
Lungau / Mauterndorf	5	5	5	5	5	5	5	5	5
Lungau / Muhr	0	0	0	0	0	0	0	0	0
Lungau / Ramingstein	2	2	2	2	2	2	2	4	4
Lungau / Sankt Andrä im Lungau	0	0	0	1	1	3	4	5	5
Lungau / Sankt Margarethen im Lungau	2	2	2	2	2	2	4	4	4
Lungau / Sankt Michael im Lungau	15	16	16	21	20	21	22	26	26
Lungau / Tamsweg	20	23	23	28	29	30	31	36	36
Lungau / Thomatal	1	1	1	1	1	1	1	1	1
Lungau / Tweng	5	5	5	5	5	5	5	5	5
Lungau / Unternberg	2	2	2	2	2	2	2	2	2
Lungau / Weißpriach	1	1	1	1	1	1	1	1	1
Lungau / Zederhaus	9	10	10	11	11	16	19	22	22
Lungau / Lungau - Nicht zugeordnet	8	10	10	10	10	10	10	11	13
Pinzgau / Pinzgau	559	559	559	574	565	596	596	596	614
Pinzgau / Bramberg am Wildkogel	5	5	5	5	5	5	5	5	5
Pinzgau / Bruck an der Glocknerstraße	38	38	38	39	39	40	40	40	43
Pinzgau / Dienten am Hochkönig	0	0	0	0	0	1	1	1	1
Pinzgau / Fusch an der Glocknerstraße	6	6	6	6	6	6	6	6	6
Pinzgau / Hollersbach	1	1	1	1	1	1	1	1	1
Pinzgau / Kaprun	21	21	21	21	21	22	22	22	22
Pinzgau / Krimml	3	3	3	3	3	4	4	4	4
Pinzgau / Lend	5	5	5	5	5	6	6	6	6
Pinzgau / Leogang	9	9	9	9	9	9	9	9	10
Pinzgau / Lofer	17	17	17	18	17	19	19	19	20
Pinzgau / Maishofen	29	29	29	29	29	29	29	29	29
Pinzgau / Maria Alm am Steinernen Meer	4	4	4	4	4	4	4	4	4
Pinzgau / Mittersill	23	23	23	26	24	25	25	25	28
Pinzgau / Neukirchen am Großvenediger	4	4	4	4	4	4	4	4	4
Pinzgau / Niedernsill	7	7	7	7	7	7	7	7	7
Pinzgau / Piesendorf	36	36	36	36	36	36	36	36	36
Pinzgau / Rauris	10	10	10	10	10	15	15	15	15
Pinzgau / Saalbach-Hinterglemm	45	45	45	46	45	45	45	45	46
Pinzgau / Saalfelden am Steinernen Meer	62	62	62	67	65	72	72	72	74
Pinzgau / Sankt Martin bei Lofer	18	18	18	18	18	18	18	18	18
Pinzgau / Stuhlfelden	4	4	4	4	4	5	5	5	6
Pinzgau / Taxenbach	11	11	11	11	11	12	12	12	12
Pinzgau / Unken	32	32	32	32	32	36	36	36	40
Pinzgau / Uttendorf	9	9	9	10	9	10	10	10	11
Pinzgau / Viehhofen	9	9	9	9	9	9	9	9	9
Pinzgau / Wald im Pinzgau	11	11	11	12	12	12	12	12	12
Pinzgau / Weißbach bei Lofer	13	13	13	13	13	14	14	14	14
Pinzgau / Zell am See	122	122	122	124	122	125	125	125	126
Pinzgau / Pinzgau - Nicht zugeordnet	5	5	5	5	5	5	5	5	5
