Gemeinde	2020-01-11T09:53:55.000Z	2020-02-11T05:51:10.000Z	2020-02-11T14:58:48.000Z	2020-03-11T05:54:06.000Z	2020-03-11T14:50:35.000Z	2020-04-11T04:53:25.000Z	2020-04-11T14:09:45.000Z	2020-05-11T07:09:49.000Z	2020-05-11T15:55:55.000Z	2020-06-11T06:52:43.000Z
Flachgau / Oberndorf bei Salzburg	36	47	47	47	47	50	50	57	57	67
Flachgau / Obertrum am See	44	50	50	53	53	55	55	55	55	61
Flachgau / Plainfeld	24	25	25	26	26	27	27	27	27	30
Flachgau / Sankt Georgen bei Salzburg	50	52	52	53	53	59	59	63	63	65
Flachgau / Sankt Gilgen	68	70	70	71	71	75	75	77	77	81
Flachgau / Schleedorf	9	9	9	9	9	13	13	17	17	17
Flachgau / Seeham	20	23	23	25	25	27	27	29	29	33
Flachgau / Straßwalchen	110	112	112	112	112	121	121	132	133	140
Flachgau / Strobl	80	84	84	84	84	89	89	96	96	101
Flachgau / Thalgau	111	113	114	116	116	122	122	125	125	135
Flachgau / Wals-Siezenheim	147	159	159	168	168	179	179	193	193	214
Flachgau / Seekirchen am Wallersee	79	84	84	88	88	96	96	105	105	112
Flachgau / Flachgau - Nicht zugeordnet	53	54	55	59	59	60	60	63	63	65
Pongau / Pongau	1592	1669	1670	1746	1746	1813	1813	1920	1920	2076
Pongau / Altenmarkt im Pongau	106	109	109	113	113	118	118	128	128	138
Pongau / Bad Hofgastein	105	107	107	113	113	116	116	121	121	127
Pongau / Bad Gastein	56	58	58	58	58	60	60	63	63	65
Pongau / Bischofshofen	210	220	222	235	235	247	247	267	267	292
Pongau / Dorfgastein	21	21	21	21	21	21	21	24	24	25
Pongau / Eben im Pongau	31	31	31	33	33	36	36	37	37	41
Pongau / Filzmoos	30	30	30	31	31	36	36	37	37	45
Pongau / Flachau	96	96	96	98	98	98	98	100	100	104
Pongau / Forstau	15	15	15	15	15	16	16	16	16	16
Pongau / Goldegg	46	48	48	49	49	49	49	53	53	56
Pongau / Großarl	135	144	144	144	144	144	143	146	146	151
Pongau / Hüttau	17	17	17	17	17	17	17	17	17	18
Pongau / Hüttschlag	13	13	13	13	13	14	14	15	15	15
Pongau / Kleinarl	20	27	27	27	27	27	27	27	27	30
Pongau / Mühlbach am Hochkönig	18	19	19	20	20	20	20	22	22	25
Pongau / Pfarrwerfen	32	35	35	36	36	38	38	39	39	45
Pongau / Radstadt	71	73	73	78	78	78	78	83	83	89
Pongau / Sankt Johann im Pongau	223	230	230	253	253	268	267	286	286	322
Pongau / Sankt Martin im Tennengebirge	69	72	72	72	72	75	75	75	75	76
Pongau / Sankt Veit im Pongau	54	54	55	61	61	61	61	62	62	69
Pongau / Schwarzach im Pongau	51	59	59	65	65	74	74	88	88	90
Pongau / Untertauern	11	11	11	11	11	11	11	11	11	16
Pongau / Wagrain	61	69	69	69	69	69	69	73	73	76
Pongau / Werfen	46	51	51	53	53	56	56	59	59	71
Pongau / Werfenweng	5	6	6	7	7	8	8	8	8	9
Pongau / Pongau - Nicht zugeordnet	50	54	52	54	54	56	58	63	63	65
Tennengau / Tennengau	1166	1221	1213	1242	1244	1286	1286	1377	1377	1425
Tennengau / Abtenau	112	127	127	131	131	137	137	155	155	162
Tennengau / Adnet	89	91	90	91	91	91	91	96	96	96
Tennengau / Annaberg-Lungötz	10	10	10	10	10	10	10	11	11	12
Tennengau / Golling an der Salzach	82	82	82	82	82	86	86	95	95	99
Tennengau / Hallein	286	299	294	303	304	315	315	351	351	369
Tennengau / Krispl	28	30	30	30	30	30	30	33	33	33
Tennengau / Kuchl	315	330	329	334	334	344	344	349	349	354
Tennengau / Oberalm	52	52	52	52	52	53	53	55	55	57
Tennengau / Puch bei Hallein	68	72	70	74	74	79	79	82	82	84
Tennengau / Rußbach am Pass Gschütt	3	3	3	3	3	3	3	4	4	6
Tennengau / Sankt Koloman	40	42	42	44	44	46	46	51	51	51
Tennengau / Scheffau am Tennengebirge	20	21	20	21	21	23	23	24	24	24
Tennengau / Bad Vigaun	41	42	42	45	45	46	46	48	48	53
Tennengau / Tennengau - Nicht zugeordnet	20	20	22	22	23	23	23	23	23	25
Salzburg Stadt / Salzburg Stadt	1401	1494	1493	1527	1526	1638	1638	1713	1714	1880
Salzburg Stadt / Stadt Salzburg - Nicht zugeordnet	73	81	81	83	83	90	90	99	99	108
Lungau / Lungau	178	198	198	212	212	227	227	249	249	300
Lungau / Göriach	0	0	0	1	1	2	2	2	2	4
Lungau / Lessach	1	1	1	1	1	1	1	1	1	2
Lungau / Mariapfarr	27	29	29	28	28	28	28	32	32	35
Lungau / Mauterndorf	8	8	8	8	8	9	9	13	13	19
Lungau / Muhr	0	0	0	0	0	0	0	0	0	0
Lungau / Ramingstein	7	6	6	7	7	8	8	9	9	13
Lungau / Sankt Andrä im Lungau	5	5	5	5	5	5	5	6	6	8
Lungau / Sankt Margarethen im Lungau	4	4	4	4	4	5	5	5	5	6
Lungau / Sankt Michael im Lungau	33	32	32	35	35	38	38	41	41	47
Lungau / Tamsweg	45	55	55	60	60	62	62	66	65	81
Lungau / Thomatal	1	1	1	2	2	2	2	2	2	3
Lungau / Tweng	5	5	5	5	5	5	5	6	6	6
Lungau / Unternberg	3	4	4	8	8	8	8	9	9	10
Lungau / Weißpriach	1	3	3	3	3	3	3	3	3	3
Lungau / Zederhaus	25	31	31	31	31	36	36	39	39	46
Lungau / Lungau - Nicht zugeordnet	13	14	14	14	14	15	15	15	16	17
Pinzgau / Pinzgau	937	963	963	985	986	1042	1043	1098	1098	1170
Pinzgau / Bramberg am Wildkogel	15	16	16	17	17	19	19	23	23	25
Pinzgau / Bruck an der Glocknerstraße	51	52	52	53	53	54	55	58	58	63
Pinzgau / Dienten am Hochkönig	5	6	6	9	9	9	9	12	12	14
Pinzgau / Fusch an der Glocknerstraße	6	6	6	6	6	6	6	6	6	6
Pinzgau / Hollersbach	3	3	3	3	3	5	5	8	8	10
Pinzgau / Kaprun	33	34	34	36	36	41	41	41	41	41
Pinzgau / Krimml	11	13	13	15	15	18	18	22	22	25
Pinzgau / Lend	9	10	10	10	10	10	10	10	10	13
Pinzgau / Leogang	21	21	21	22	22	24	24	27	27	32
Pinzgau / Lofer	31	32	32	32	32	32	32	32	32	32
Pinzgau / Maishofen	35	37	37	37	37	38	38	38	38	39
Pinzgau / Maria Alm am Steinernen Meer	5	5	5	5	5	6	6	7	7	9
Pinzgau / Mittersill	57	59	59	60	60	64	64	68	68	72
Pinzgau / Neukirchen am Großvenediger	11	11	11	11	11	14	14	16	16	16
Pinzgau / Niedernsill	13	16	16	17	17	17	17	17	17	17
Pinzgau / Piesendorf	42	42	42	42	42	43	43	45	45	46
Pinzgau / Rauris	23	26	26	27	27	27	27	28	28	30
Pinzgau / Saalbach-Hinterglemm	54	54	54	55	55	56	56	56	56	58
Pinzgau / Saalfelden am Steinernen Meer	151	152	152	156	157	176	176	190	190	215
Pinzgau / Sankt Martin bei Lofer	23	24	24	24	24	24	24	25	25	27
Pinzgau / Stuhlfelden	10	10	10	10	10	10	10	11	11	12
Pinzgau / Taxenbach	43	45	45	47	47	49	49	49	49	49
Pinzgau / Unken	55	55	55	56	56	55	55	55	55	55
Pinzgau / Uttendorf	21	22	22	22	22	22	22	25	25	27
Pinzgau / Viehhofen	10	10	10	10	10	10	10	10	10	10
Pinzgau / Wald im Pinzgau	13	13	13	13	13	13	13	15	15	15
Pinzgau / Weißbach bei Lofer	15	15	15	15	15	17	17	17	17	17
Pinzgau / Zell am See	163	166	166	167	167	171	171	175	175	182
Pinzgau / Pinzgau - Nicht zugeordnet	8	8	8	8	8	12	12	12	12	13
